,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,service,tunnel,area
9949,4645736710,6143012634,0,655685048,True,2,Pasir Ris Drive 3,primary,60,151.53,"LINESTRING (103.9418684 1.3795532, 103.9429493 1.3787229)",,,,,,,
9950,4645880164,4645880165,0,109687930,True,3,Pasir Ris Drive 3,primary,60,32.86,"LINESTRING (103.9461074 1.3767042, 103.9463674 1.3765636)",,,,,,,
9951,4645880165,4645880168,0,537933591,True,2,Pasir Ris Drive 3,primary,60,9.719,"LINESTRING (103.9463674 1.3765636, 103.946443 1.3765197)",,,,,,,
9952,4645880167,1836946467,0,537933592,True,2,Pasir Ris Drive 3,primary,60,166.187,"LINESTRING (103.9463264 1.3764737, 103.9450293 1.3772168)",,,,,,,
9953,4645880168,206089788,0,470386836,True,3,Pasir Ris Drive 3,primary,60,61.605,"LINESTRING (103.946443 1.3765197, 103.9469372 1.376269)",,,,,,,
9954,4645880169,1836946432,0,477958187,True,3,Pasir Ris Drive 3,primary,60,12.001,"LINESTRING (103.9485316 1.3753835, 103.9484328 1.375427)",,,,,,,
9955,4645880169,4645880176,0,635687121,True,2,Pasir Ris Drive 8,tertiary,60,27.003,"LINESTRING (103.9485316 1.3753835, 103.9484318 1.3751621)",,,,,,,
9956,4645880171,1628815040,0,470922335,True,3,Pasir Ris Drive 8,tertiary,60,20.362,"LINESTRING (103.9483108 1.3751753, 103.9483892 1.3753408)",,,,,,,
9957,4645880173,1836946456,0,173182613,True,2,Pasir Ris Drive 3,primary,60,18.119,"LINESTRING (103.9481926 1.3755245, 103.948043 1.3755892)",,,,,,,
9958,4645880174,4645880169,0,635687122,True,3,Pasir Ris Drive 3,primary,60,40.587,"LINESTRING (103.9488703 1.3752472, 103.9485316 1.3753835)",,,,,,,
9959,4645880176,5150790518,0,470386837,True,2,Pasir Ris Drive 8,tertiary,60,60.435,"LINESTRING (103.9484318 1.3751621, 103.9481827 1.374679)",,,,,,,
9960,4645880177,4645880174,0,470386840,True,4,Pasir Ris Drive 3,primary,60,20.78,"LINESTRING (103.949046 1.3751834, 103.9488703 1.3752472)",,,,,,,
9961,4645880178,1840121886,0,655217907,True,2,Pasir Ris Drive 3,primary,60,7.599,"LINESTRING (103.9512397 1.3749286, 103.951308 1.3749314)",,,,,,,
9962,4645880179,206089783,0,471229370,True,2,Pasir Ris Drive 3,primary,60,12.198,"LINESTRING (103.951244 1.3748161, 103.9511344 1.3748107)",,,,,,,
9963,4645880179,5266921395,0,639567339,True,2,Pasir Ris Central,residential,50,76.114,"LINESTRING (103.951244 1.3748161, 103.9512413 1.3741316)",,,,,,,
9964,4645880180,4645880181,0,639567338,True,2,Pasir Ris Central,residential,50,21.224,"LINESTRING (103.9512387 1.3734765, 103.9512239 1.3732862)",,,,,,,
9965,4645880181,4645880182,0,639567338,True,2,Pasir Ris Central,residential,50,16.815,"LINESTRING (103.9512239 1.3732862, 103.9511803 1.3731414)",,,,,,,
9966,4645880182,4645880183,0,639567338,True,2,Pasir Ris Central,residential,50,20.266,"LINESTRING (103.9511803 1.3731414, 103.9510958 1.3729799)",,,,,,,
9967,4645880183,5150797093,0,639567338,True,2,Pasir Ris Central,residential,50,11.565,"LINESTRING (103.9510958 1.3729799, 103.9510286 1.3729005)",,,,,,,
9968,4645880184,6038591404,0,639894217,True,2,Pasir Ris Central,residential,50,23.618,"LINESTRING (103.9509851 1.3728492, 103.9508369 1.372697)",,,,,,,
9969,4645880185,4645880186,0,470817988,True,2,Pasir Ris Central,residential,50,28.306,"LINESTRING (103.9503627 1.372189, 103.950186 1.3720057)",,,,,,,
9970,4645880186,4672329953,0,470817988,True,2,Pasir Ris Central,residential,50,6.927,"LINESTRING (103.950186 1.3720057, 103.9501355 1.3719692)",,,,,,,
9971,4645880187,4645880188,0,470817988,True,2,Pasir Ris Central,residential,50,11.254,"LINESTRING (103.9499677 1.3719016, 103.9498666 1.3718963)",,,,,,,
9972,4645880188,4645890589,0,470817988,True,2,Pasir Ris Central,residential,50,19.939,"LINESTRING (103.9498666 1.3718963, 103.9496889 1.3719207)",,,,,,,
9973,4645890589,4648760714,0,470817988,True,2,Pasir Ris Central,residential,50,35.637,"LINESTRING (103.9496889 1.3719207, 103.9493766 1.3719931)",,,,,,,
9974,4645890590,4648760713,0,537933598,True,,Pasir Ris Street 51,residential,50,10.155,"LINESTRING (103.9492687 1.3720213, 103.9493 1.3721071)",,,,,,,
9975,4645890594,1840069870,0,385064937,True,3,Pasir Ris Drive 8,tertiary,60,5.306,"LINESTRING (103.9476739 1.3727024, 103.947695 1.3727452)",,,,,,,
9976,4645984703,1628815007,0,590331557,True,2,Pasir Ris Drive 3,primary,60,11.62,"LINESTRING (103.9525978 1.374989, 103.952494 1.3749767)",,,,,,,
9977,4645984705,5636545769,0,470787509,True,2,Pasir Ris Drive 3,primary,60,2.519,"LINESTRING (103.9525853 1.3750945, 103.9526076 1.3750985)",,,,,,,
9978,4645984706,1840034338,0,470907464,True,2,Pasir Ris Drive 1,primary,60,62.288,"LINESTRING (103.9570106 1.3690179, 103.957548 1.3688593)",,,,,,,
