,y,x,osmid,ref,railway,geometry
1840734604,1.394538,103.9161538,1840734604,PE4,station,POINT (103.9161538 1.394538)
1840734606,1.4097076,103.904874,1840734606,PW1,station,POINT (103.904874 1.4097076)
1840734607,1.4159537,103.9021398,1840734607,PW4,station,POINT (103.9021398 1.4159537)
1840734608,1.4053014,103.8972748,1840734608,PW7,station,POINT (103.8972748 1.4053014)
1840734610,1.4085322,103.8985342,1840734610,PW6,station,POINT (103.8985342 1.4085322)
1840734614,1.4127544,103.9066258,1840734614,PW2,,POINT (103.9066258 1.4127544)
2085848759,1.4021705,103.9002053,2085848759,,,POINT (103.9002053 1.4021705)
2274871698,1.3927537,103.9143261,2274871698,,,POINT (103.9143261 1.3927537)
2274871713,1.3927956,103.9143334,2274871713,,,POINT (103.9143334 1.3927956)
2274871718,1.3928065,103.9144837,2274871718,,,POINT (103.9144837 1.3928065)
2274871725,1.3928147,103.9141731,2274871725,,,POINT (103.9141731 1.3928147)
2274871738,1.3928429,103.9146422,2274871738,,,POINT (103.9146422 1.3928429)
2274871750,1.3928666,103.9140219,2274871750,,,POINT (103.9140219 1.3928666)
2274871778,1.3929422,103.9148308,2274871778,,,POINT (103.9148308 1.3929422)
2274871798,1.3929777,103.913806,2274871798,,,POINT (103.913806 1.3929777)
2274871799,1.3929777,103.914951,2274871799,,,POINT (103.914951 1.3929777)
2274871816,1.3930114,103.9149319,2274871816,,,POINT (103.9149319 1.3930114)
2274871851,1.393056,103.915043,2274871851,,,POINT (103.915043 1.393056)
2274871868,1.3930861,103.9135928,2274871868,,,POINT (103.9135928 1.3930861)
2274871869,1.3930897,103.9150112,2274871869,,,POINT (103.9150112 1.3930897)
2274871882,1.393117,103.9136174,2274871882,,,POINT (103.9136174 1.393117)
2274872007,1.3933155,103.9151979,2274872007,,,POINT (103.9151979 1.3933155)
2274872011,1.3933217,103.9133086,2274872011,,,POINT (103.9133086 1.3933217)
2274872054,1.3933502,103.9133323,2274872054,,,POINT (103.9133323 1.3933502)
2274872182,1.393569,103.9129659,2274872182,,,POINT (103.9129659 1.393569)
2274872186,1.393586,103.9154029,2274872186,,,POINT (103.9154029 1.393586)
2274872200,1.3936325,103.9130235,2274872200,,,POINT (103.9130235 1.3936325)
2274872287,1.3939153,103.915698,2274872287,,,POINT (103.915698 1.3939153)
2274872290,1.3939191,103.9156439,2274872290,,,POINT (103.9156439 1.3939191)
2274872331,1.3940301,103.9125485,2274872331,,,POINT (103.9125485 1.3940301)
2274872498,1.3944034,103.9160716,2274872498,,,POINT (103.9160716 1.3944034)
2274872534,1.3944575,103.9159801,2274872534,,,POINT (103.9159801 1.3944575)
2274873547,1.3950164,103.916373,2274873547,,,POINT (103.916373 1.3950164)
2274873645,1.3952027,103.9111185,2274873645,,,POINT (103.9111185 1.3952027)
2274873995,1.395614,103.9168561,2274873995,,,POINT (103.9168561 1.395614)
2274874260,1.3959432,103.9100725,2274874260,,,POINT (103.9100725 1.3959432)
2274874317,1.396021,103.9101243,2274874317,,,POINT (103.9101243 1.396021)
2274874856,1.3966609,103.9093106,2274874856,,,POINT (103.9093106 1.3966609)
2274874973,1.3968438,103.9089612,2274874973,,,POINT (103.9089612 1.3968438)
2274875243,1.397257,103.9180273,2274875243,,,POINT (103.9180273 1.397257)
2274875267,1.3973005,103.9085976,2274875267,,,POINT (103.9085976 1.3973005)
2274875333,1.3974027,103.9181573,2274875333,,,POINT (103.9181573 1.3974027)
2274875340,1.3974146,103.9181057,2274875340,,,POINT (103.9181057 1.3974146)
2274875469,1.397655,103.9181794,2274875469,,,POINT (103.9181794 1.397655)
2274875509,1.3977237,103.9080459,2274875509,,,POINT (103.9080459 1.3977237)
2274875623,1.397899,103.9181895,2274875623,,,POINT (103.9181895 1.397899)
2274875914,1.3981185,103.9181457,2274875914,,,POINT (103.9181457 1.3981185)
