,u,v,key,osmid,bridge,oneway,length,geometry
589,6532012983,6532012984,0,173144832,yes,False,29.383,"LINESTRING (103.9041367 1.4085757, 103.9040294 1.4083342)"
590,6532012984,6532012983,0,173144832,yes,False,29.383,"LINESTRING (103.9040294 1.4083342, 103.9041367 1.4085757)"
591,6532012984,6532027385,0,173144832,yes,False,29.906,"LINESTRING (103.9040294 1.4083342, 103.9039384 1.4080811)"
592,6532027385,6532012984,0,173144832,yes,False,29.906,"LINESTRING (103.9039384 1.4080811, 103.9040294 1.4083342)"
593,6532027385,411102764,0,173144832,yes,False,93.952,"LINESTRING (103.9039384 1.4080811, 103.903494 1.4073624)"
594,6532027391,411102762,0,173144832,yes,False,43.262,"LINESTRING (103.9061613 1.4119605, 103.9063563 1.4122972)"
595,6532027391,411102763,0,173144832,yes,False,287.385,"LINESTRING (103.9061613 1.4119605, 103.9048658 1.4097239)"
596,6587709456,411102765,0,218215445,yes,False,46.091,"LINESTRING (103.9022357 1.4052749, 103.9024307 1.4056407)"
597,6587709456,2274884038,0,218215445,yes,False,35.456,"LINESTRING (103.9022357 1.4052749, 103.9020857 1.4049935)"
598,6587709457,2274884006,0,218215444,yes,False,38.61,"LINESTRING (103.9024702 1.4051499, 103.902302 1.4048461)"
599,6587709457,2274884357,0,218215444,yes,False,50.425,"LINESTRING (103.9024702 1.4051499, 103.9026898 1.4055467)"
600,7114440518,2274884966,0,173144836,yes,False,29.891,"LINESTRING (103.9021003 1.4159493, 103.902274 1.4161545)"
601,7114440518,2274884959,0,173144836,yes,False,25.291,"LINESTRING (103.9021003 1.4159493, 103.9019533 1.4157757)"
602,7114440519,1712357001,0,173144832,yes,False,22.694,"LINESTRING (103.9021722 1.4158934, 103.9020426 1.4157357)"
603,7114440519,411102735,0,173144832,yes,False,29.305,"LINESTRING (103.9021722 1.4158934, 103.9023396 1.416097)"
