y,x,osmid,highway,address,ref
1.3890036,103.9005185,7232298556,,"Compassvale Walk, Sengkang, Northeast, 540229, Singapore",
1.3958625,103.8949202,4701920929,,"261, Compassvale Street, Sengkang, Northeast, 540261, Singapore",
1.3956435,103.8945262,4701920933,,"Sengkang East Road, Sengkang, Northeast, 541262, Singapore",
1.4152874,103.9056836,5256748785,,"Punggol Seventeenth Avenue, Punggol, Northeast, 829645, Singapore",
1.3945087,103.9017211,3063324469,,"Punggol Road, Punggol, Northeast, 543297, Singapore",
1.3933122,103.893583,242966341,traffic_signals,"323B, Sengkang East Way, Sengkang, Northeast, 542323, Singapore",
1.4194197,103.9101166,5556054120,,"Ponggol Twenty-Fourth Avenue, Punggol, Northeast, 823431, Singapore",
1.3949275,103.8994258,3063324544,,"297 MSCP, Compassvale Street, Sengkang, Northeast, 540256, Singapore",
1.394976,103.8987337,3063324588,,"Compassvale Street, Sengkang, Northeast, 545091, Singapore",
1.3959956,103.89451,242966457,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 544625, Singapore",
1.4167984,103.9045144,5556264977,,"Punggol Seventeenth Avenue, Punggol, Northeast, 823408, Singapore",
1.4162844,103.9048176,5556264978,,"Punggol Seventeenth Avenue, Punggol, Northeast, 820410, Singapore",
1.3969096,103.8909003,242966584,traffic_signals,"Anchorvale Link, Sengkang, Northeast, 540331, Singapore",
1.3820737,103.9304475,6585360450,,"Pasir Ris Industrial Drive 1, Pasir Ris, Northeast, 828869, Singapore",
1.3821833,103.9304241,6585360453,,"Pasir Ris Industrial Drive 1, Pasir Ris, Northeast, 519527, Singapore",
1.3822845,103.9304709,6585360459,,"Pasir Ris Farmway 2, Pasir Ris, Northeast, 519527, Singapore",
1.3947905,103.899409,3063324776,,"Compassvale Street, Sengkang, Northeast, 541297, Singapore",
1.3868209,103.8998596,375775415,traffic_signals,"212A, Compassvale Lane, Sengkang, Northeast, 544211, Singapore",
1.4171607,103.9061918,4946665702,,"Punggol Way, Punggol, Northeast, 821410, Singapore",
1.3908254,103.894409,3063308595,,"Sengkang, Northeast, 543216, Singapore",
1.3951133,103.8987004,3063325002,,"Compassvale Street, Sengkang, Northeast, 545091, Singapore",
1.3964795,103.903436,369172848,traffic_signals,"Punggol Road, Punggol, Northeast, 820136, Singapore",
1.3912536,103.8928828,242999681,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 545015, Singapore",
1.3895217,103.892433,369140109,traffic_signals,"Compassvale Drive, Sengkang, Northeast, 541321, Singapore",
1.3959894,103.9031597,369172927,,"189C, Punggol Road, Punggol, Northeast, 820136, Singapore",
1.3849525,103.9152668,3168625114,motorway_junction,"Tampines Expressway, Punggol, Northeast, 520175, Singapore",7A
1.3906092,103.9016569,3063308874,,"Punggol Road, Sengkang, Northeast, 541126, Singapore",
1.3929952,103.8945345,242967203,,"Sengkang Community Hub, 2, Sengkang Square, Sengkang, Northeast, 545025, Singapore",
1.3985677,103.9070557,4697957131,,"Punggol Field, Punggol Cove, Punggol, Northeast, 820198, Singapore",
1.3985792,103.9074042,4697957134,,"Edgefield Plains, Punggol, Northeast, 820100, Singapore",
1.388746,103.9022749,377643795,,"125, Rivervale Street, Sengkang, Northeast, 542124, Singapore",
1.395728,103.8961358,369468188,,"Compassvale Street, Sengkang, Northeast, 541294, Singapore",
1.3960908,103.8946884,369468189,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 540294, Singapore",
1.39503,103.8990599,369468200,traffic_signals,"Compassvale Road, Sengkang, Northeast, 540256, Singapore",
