,u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,ref,name,bridge,access,tunnel
71,242948492,391191416,0,652193434,True,2,secondary,50,38.944,"LINESTRING (103.8950423 1.3863391, 103.8953427 1.3861589)",,Sengkang East Avenue,,,
72,242948493,4598842430,0,476440471,True,3,primary,60,35.386,"LINESTRING (103.8913015 1.386615, 103.8913988 1.386918)",,Sengkang East Road,,,
73,242948493,242998157,0,536039206,True,3,secondary,50,16.142,"LINESTRING (103.8913015 1.386615, 103.8914423 1.3865795)",,Sengkang East Avenue,,,
74,242948494,6113430690,0,75110223,True,2,secondary,60,68.052,"LINESTRING (103.9056694 1.3888384, 103.9052099 1.3892428)",,Sengkang East Way,,,
75,242948495,242948496,0,479341924,True,2,secondary,60,134.004,"LINESTRING (103.9043145 1.3898798, 103.9032952 1.3905232)",,Sengkang East Way,,,
76,242948495,369165233,0,536039242,False,2,residential,50,14.516,"LINESTRING (103.9043145 1.3898798, 103.9043976 1.3899805)",,Rivervale Crescent,,,
77,242948496,369164758,0,479341924,True,2,secondary,60,54.551,"LINESTRING (103.9032952 1.3905232, 103.902848 1.3907252)",,Sengkang East Way,,,
78,242948499,4724609183,0,479341924,True,2,secondary,60,11.834,"LINESTRING (103.9024911 1.3908682, 103.9023859 1.3908845)",,Sengkang East Way,,,
79,242950951,242951056,0,479745787,True,2,secondary,60,59.492,"LINESTRING (103.9019132 1.3878795, 103.9018945 1.3873448)",,Punggol Road,,,
80,242950971,1712346001,0,160443490,True,2,secondary,60,66.647,"LINESTRING (103.9017811 1.3900213, 103.9018968 1.3894332)",,Punggol Road,,,
81,242950978,6791696919,0,628022054,True,2,secondary,60,7.392,"LINESTRING (103.9013163 1.3936636, 103.9013068 1.3935978)",,Punggol Road,,,
82,242950984,4727949760,0,652253266,True,3,secondary,60,18.555,"LINESTRING (103.901397 1.3917888, 103.9014278 1.3916248)",,Punggol Road,,,
83,242950993,3063308874,0,160443490,True,2,secondary,60,40.766,"LINESTRING (103.9015774 1.3909671, 103.9016569 1.3906092)",,Punggol Road,,,
84,242950993,242941570,0,536039240,True,,secondary,60,14.818,"LINESTRING (103.9015774 1.3909671, 103.9014441 1.3909671)",,Sengkang East Way,,,
85,242951025,7283755788,0,628022051,True,2,secondary,60,54.062,"LINESTRING (103.9012709 1.3933501, 103.9012617 1.392864)",,Punggol Road,,,
86,242951056,1855321494,0,652543199,True,3,secondary,60,50.496,"LINESTRING (103.9018945 1.3873448, 103.9018422 1.3868937)",,Punggol Road,,,
87,242951058,3786057738,0,173767829,True,2,secondary,60,27.186,"LINESTRING (103.902782 1.3955494, 103.9026103 1.3953753)",,Punggol Road,,,
88,242951071,242950984,0,448937543,True,2,secondary,60,31.588,"LINESTRING (103.9013527 1.3920694, 103.901397 1.3917888)",,Punggol Road,,,
89,242952168,3063313133,0,175052991,True,2,secondary,60,24.893,"LINESTRING (103.9002714 1.3910301, 103.9000508 1.3910686)",,Sengkang East Way,,,
90,242952197,5928271940,0,717440790,True,2,secondary,60,38.417,"LINESTRING (103.8991975 1.3913539, 103.8988719 1.3914697)",,Sengkang East Way,,,
91,242952212,3063314827,0,34934792,True,2,secondary,60,27.997,"LINESTRING (103.8978996 1.3918212, 103.8976604 1.3919)",,Sengkang East Way,,,
92,242952212,369163840,0,536039239,True,3,tertiary,50,9.36,"LINESTRING (103.8978996 1.3918212, 103.8979284 1.3919003)",,Compassvale Road,,,
93,242952222,6195963838,0,652041096,True,3,secondary,60,64.518,"LINESTRING (103.8966823 1.3922607, 103.8961297 1.3924381)",,Sengkang East Way,,,
94,242952267,242966341,0,174886204,True,4,secondary,60,14.244,"LINESTRING (103.8937054 1.3932743, 103.893583 1.3933122)",,Sengkang East Way,,,
95,242952267,5278670993,0,445716748,True,3,primary,60,9.41,"LINESTRING (103.8937054 1.3932743, 103.8936775 1.3931944)",,Sengkang East Road,,,
96,242953527,4478228205,0,32741646,True,2,residential,50,30.155,"LINESTRING (103.8972179 1.389758, 103.8969609 1.3898448)",,Sengkang Square,,,
97,242953527,375766139,0,174886152,True,3,tertiary,50,7.776,"LINESTRING (103.8972179 1.389758, 103.8972386 1.3898248)",,Compassvale Road,,,
98,242953528,375766121,0,22652716,True,2,residential,50,9.98,"LINESTRING (103.8962076 1.3901059, 103.896237 1.3901907)",,Sengkang Square,,,
99,242953528,5256311288,0,536420696,True,2,residential,50,62.536,"LINESTRING (103.8962076 1.3901059, 103.8956761 1.3902902)",,Sengkang Square,,,
100,242953529,375766074,0,536420699,True,,residential,50,9.983,"LINESTRING (103.8940238 1.390863, 103.8940555 1.390947)",,Sengkang Square,,,
101,242953529,5256291409,0,627686930,True,2,residential,50,48.598,"LINESTRING (103.8940238 1.390863, 103.8936102 1.3910046)",,Sengkang Square,,,
102,242953530,5278670969,0,174886199,True,3,primary,60,2.236,"LINESTRING (103.8930012 1.3912131, 103.8929949 1.391194)",,Sengkang East Road,,,
103,242953530,242999681,0,174886209,True,2,residential,50,13.911,"LINESTRING (103.8930012 1.3912131, 103.8928828 1.3912536)",,Sengkang Square,,,
104,242955635,5178357125,0,22652720,True,2,tertiary,50,13.551,"LINESTRING (103.8960799 1.3864331, 103.8961182 1.3865488)",,Compassvale Road,,,
105,242955719,369468200,0,536039216,True,2,tertiary,40,14.879,"LINESTRING (103.8990209 1.394902, 103.8990599 1.39503)",,Compassvale Road,,,
106,242955719,3063324588,0,627989329,True,2,tertiary,50,32.969,"LINESTRING (103.8990209 1.394902, 103.8987337 1.394976)",,Compassvale Street,,,
107,242956226,3063328247,0,32790133,False,2,residential,40,20.557,"LINESTRING (103.8994352 1.396354, 103.8994628 1.3961712)",,Compassvale Crescent,,,
108,242956226,242956227,0,32790133,False,2,residential,40,21.681,"LINESTRING (103.8994352 1.396354, 103.8993588 1.3965334)",,Compassvale Crescent,,,
109,242956227,242956226,0,32790133,False,2,residential,40,21.681,"LINESTRING (103.8993588 1.3965334, 103.8994352 1.396354)",,Compassvale Crescent,,,
110,242956227,3063328742,0,32790133,False,2,residential,40,25.988,"LINESTRING (103.8993588 1.3965334, 103.8992191 1.3967208)",,Compassvale Crescent,,,
111,242956228,5256544266,0,32790133,False,2,residential,40,6.097,"LINESTRING (103.8994191 1.3958853, 103.8994014 1.3958334)",,Compassvale Crescent,,,
112,242956228,3063321290,0,32790133,False,2,residential,40,14.929,"LINESTRING (103.8994191 1.3958853, 103.8994452 1.396017)",,Compassvale Crescent,,,
113,242958339,4724494208,0,627971440,True,3,tertiary,40,55.997,"LINESTRING (103.9036227 1.3862508, 103.9033372 1.3858359)",,Rivervale Drive,,,
114,242958350,5104278683,0,627971441,True,2,tertiary,40,39.675,"LINESTRING (103.9042738 1.3869743, 103.9040078 1.3867364)",,Rivervale Drive,,,
115,242958362,5928309546,0,448937557,True,2,tertiary,50,17.447,"LINESTRING (103.904707 1.3873081, 103.9045827 1.3872123)",,Rivervale Drive,,,
116,242958372,5145526463,0,448937557,True,2,tertiary,50,55.58,"LINESTRING (103.9055935 1.3881018, 103.9052501 1.3877385)",,Rivervale Drive,,,
117,242958383,377648177,0,74963916,True,3,secondary,60,12.878,"LINESTRING (103.9060275 1.3885107, 103.9059487 1.3885956)",,Sengkang East Way,,,
118,242958383,5952940870,0,479343205,True,2,tertiary,50,21.272,"LINESTRING (103.9060275 1.3885107, 103.9058829 1.3883854)",,Rivervale Drive,,,
119,242958389,5270601985,0,448937554,True,4,tertiary,50,6.335,"LINESTRING (103.906717 1.3893131, 103.9066912 1.3892623)",,Rivervale Drive,,,
120,242958389,3905022197,0,479328457,True,1,residential,50,33.053,"LINESTRING (103.906717 1.3893131, 103.906958 1.389139)",,Rivervale Crescent,,,
121,242958435,4598826892,0,776406113,True,3,tertiary,50,40.974,"LINESTRING (103.9068851 1.3898299, 103.906806 1.38947)",,Rivervale Drive,,,
122,242958444,4598826890,0,627936692,True,2,tertiary,50,25.444,"LINESTRING (103.9068923 1.3901827, 103.9068956 1.3899539)",,Rivervale Drive,,,
123,242958454,1854312574,0,33263036,True,2,tertiary,50,45.434,"LINESTRING (103.906566 1.3909176, 103.9067565 1.3905561)",,Rivervale Drive,,,
124,242958493,5145526460,0,33263036,True,2,tertiary,50,35.103,"LINESTRING (103.9062542 1.3912985, 103.9064665 1.3910648)",,Rivervale Drive,,,
125,242958494,369469280,0,257750350,False,2,residential,50,15.462,"LINESTRING (103.9053021 1.3920505, 103.9054033 1.3921459)",,Rivervale Crescent,,,
126,242958494,5178349591,0,539427641,False,3,residential,50,27.428,"LINESTRING (103.9053021 1.3920505, 103.9051371 1.3918671)",,Rivervale Crescent,,,
127,242958494,6821129514,0,627702905,True,2,tertiary,40,23.621,"LINESTRING (103.9053021 1.3920505, 103.9051415 1.3921896)",,Rivervale Drive,,,
128,242958495,6821129520,0,627664874,True,2,tertiary,40,32.078,"LINESTRING (103.9043072 1.3928265, 103.9040592 1.392974)",,Rivervale Drive,,,
129,242958496,6821129507,0,627664874,True,2,tertiary,40,42.596,"LINESTRING (103.9038214 1.3931024, 103.9034822 1.3932806)",,Rivervale Drive,,,
130,242958497,5256364990,0,22652751,True,2,tertiary,50,93.338,"LINESTRING (103.9030607 1.393482, 103.9022706 1.3937661)",,Rivervale Drive,,,
131,242958499,1839722234,0,655169451,True,2,tertiary,50,76.652,"LINESTRING (103.8972831 1.3953267, 103.8966134 1.3954909)",,Compassvale Street,,,
132,242958500,5104015288,0,627953874,True,2,tertiary,50,38.451,"LINESTRING (103.8961915 1.3955741, 103.8958494 1.3956252)",,Compassvale Street,,,
133,242958501,5680984236,0,74957629,True,3,primary,60,7.785,"LINESTRING (103.8946429 1.3959525, 103.8946201 1.3958863)",,Sengkang East Road,,,
134,242958501,242966457,0,174886153,True,,tertiary,60,15.531,"LINESTRING (103.8946429 1.3959525, 103.89451 1.3959956)",,Compassvale Street,,,
135,242958690,5178349613,0,627923422,False,2,residential,50,1.932,"LINESTRING (103.9046798 1.3907155, 103.9046829 1.3907326)",,Rivervale Crescent,,,
136,242958690,4730094580,0,627923422,False,2,residential,50,13.377,"LINESTRING (103.9046798 1.3907155, 103.9046514 1.3905986)",,Rivervale Crescent,,,
137,242958700,1779761820,0,22652794,False,2,residential,50,25.694,"LINESTRING (103.904787 1.3913062, 103.9048577 1.3915262)",,Rivervale Crescent,,,
138,242958700,5178349596,0,22652794,False,2,residential,50,6.486,"LINESTRING (103.904787 1.3913062, 103.9047766 1.3912488)",,Rivervale Crescent,,,
139,242958711,1779761822,0,545321526,True,1,residential,50,5.627,"LINESTRING (103.9058096 1.3925573, 103.9058428 1.3925955)",,Rivervale Crescent,,,
140,242958719,5921905745,0,545321526,True,1,residential,50,6.855,"LINESTRING (103.9062286 1.3927563, 103.9062902 1.3927534)",,Rivervale Crescent,,,
141,242958725,5921905742,0,545321526,True,1,residential,50,17.545,"LINESTRING (103.9064975 1.3926549, 103.906612 1.3925463)",,Rivervale Crescent,,,
142,242958751,5256683762,0,627064059,False,2,residential,50,43.18,"LINESTRING (103.9084823 1.3905426, 103.9082143 1.3908237)",,Rivervale Crescent,,,
143,242958751,7103996993,0,627919526,False,2,residential,50,10.573,"LINESTRING (103.9084823 1.3905426, 103.9085436 1.3904699)",,Rivervale Crescent,,,
144,242958752,5927875677,0,760458936,True,1,residential,50,14.103,"LINESTRING (103.9091353 1.3897233, 103.9090555 1.3898219)",,Rivervale Crescent,,,
145,242958968,3808586871,0,32775577,True,2,secondary,60,19.886,"LINESTRING (103.9068297 1.3875185, 103.9067228 1.3876619)",,Sengkang East Way,,,
146,242958972,5218361608,0,545321521,True,1,residential,50,12.731,"LINESTRING (103.9092728 1.3893553, 103.9092563 1.3894686)",,Rivervale Crescent,,,
147,242959006,6497953523,0,545321521,True,1,residential,50,10.852,"LINESTRING (103.9090482 1.3889386, 103.9091212 1.3890034)",,Rivervale Crescent,,,
148,242959015,242959006,0,545321521,True,1,residential,50,45.695,"LINESTRING (103.9087026 1.3887161, 103.9090482 1.3889386)",,Rivervale Crescent,,,
149,242959025,242959015,0,545321521,True,1,residential,50,32.733,"LINESTRING (103.9084392 1.3885845, 103.9087026 1.3887161)",,Rivervale Crescent,,,
150,242959877,4598826828,0,545321521,True,1,residential,50,21.239,"LINESTRING (103.9080623 1.3885249, 103.9082528 1.3885396)",,Rivervale Crescent,,,
151,242959983,4598826829,0,760452669,True,1,residential,50,16.171,"LINESTRING (103.9077256 1.3885951, 103.9078638 1.3885497)",,Rivervale Crescent,,,
152,242960095,6497953521,0,545321521,True,1,residential,50,9.28,"LINESTRING (103.9091747 1.3890673, 103.9092218 1.3891362)",,Rivervale Crescent,,,
153,242966341,369141917,0,174886195,True,4,primary,60,13.211,"LINESTRING (103.893583 1.3933122, 103.8936212 1.3934247)",,Sengkang East Road,,,
154,242966341,5278670987,0,445716753,True,3,secondary,60,9.183,"LINESTRING (103.893583 1.3933122, 103.893505 1.3933394)",,Sengkang East Way,,,
155,242966352,6100593920,0,174886207,True,3,secondary,60,50.674,"LINESTRING (103.891813 1.3939048, 103.8913769 1.3940375)",,Sengkang East Way,,,
156,242966457,5680984242,0,512918153,True,2,tertiary,50,8.353,"LINESTRING (103.89451 1.3959956, 103.8944385 1.3960187)",,Anchorvale Street,,,
157,242966457,369158458,0,512918166,True,,primary,60,16.02,"LINESTRING (103.89451 1.3959956, 103.8945619 1.39613)",,Sengkang East Road,,,
158,242966528,4598826881,0,32728090,True,3,tertiary,50,59.877,"LINESTRING (103.8918347 1.3967709, 103.8913024 1.3968533)",,Anchorvale Street,,,
159,242967026,3063328742,0,32790133,False,2,residential,40,18.878,"LINESTRING (103.8990972 1.396839, 103.8992191 1.3967208)",,Compassvale Crescent,,,
160,242967026,3063328591,0,32790133,False,2,residential,40,8.97,"LINESTRING (103.8990972 1.396839, 103.8990288 1.3968818)",,Compassvale Crescent,,,
161,242967037,6119769349,0,626818803,False,2,residential,50,21.8,"LINESTRING (103.8987087 1.3970116, 103.8985232 1.3970752)",,Compassvale Crescent,,,
162,242967037,3063328591,0,626832746,False,3,residential,40,38.399,"LINESTRING (103.8987087 1.3970116, 103.8990288 1.3968818)",,Compassvale Crescent,,,
163,242967048,3063328793,0,766825010,True,1,residential,50,15.952,"LINESTRING (103.8976209 1.397449, 103.8977579 1.3974063)",,Compassvale Crescent,,,
